address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct,zip_code_num,long,lat
"Finderupvej 2C, 3. TV",8000 Aarhus C,2725000,2015-12-31,Alm. Salg,31321.0,3.0,Lejlighed,87.0,2009.0,0.0,8000,10.182282,56.155447
"Silkeborgvej 116, ST. TH",8000 Aarhus C,1575000,2015-12-30,Alm. Salg,25000.0,2.0,Lejlighed,63.0,1936.0,-1.0,8000,10.180301,56.156594
"Åparken 6, ST. 1",8000 Aarhus C,3349000,2015-12-30,Alm. Salg,31299.0,4.0,Lejlighed,107.0,2001.0,0.0,8000,10.187519,56.154112
"Ingerslevs Boulevard 19, 4. TH",8000 Aarhus C,4200000,2015-12-30,Alm. Salg,38181.0,5.0,Lejlighed,110.0,1929.0,0.0,8000,10.192979,56.14409
"Telefontorvet 4, 4. TV",8000 Aarhus C,3925000,2015-12-29,Alm. Salg,38861.0,3.0,Lejlighed,101.0,2005.0,-2.0,8000,10.207114,56.155616
"Nordborggade 4, 3. TV",8000 Aarhus C,2385000,2015-12-29,Alm. Salg,28392.0,3.0,Lejlighed,84.0,1944.0,-3.0,8000,10.187113,56.144232
"Østbanetorvet 7, 4. TH",8000 Aarhus C,3398000,2015-12-29,Alm. Salg,32056.0,3.0,Lejlighed,106.0,1898.0,0.0,8000,10.215128,56.163386
"Silkeborgvej 142, 3. TV",8000 Aarhus C,1350000,2015-12-29,Fam. Salg,22881.0,2.0,Lejlighed,59.0,1938.0,0.0,8000,10.178795,56.156289
Finderupvej 2E,8000 Aarhus C,1783000,2015-12-29,Alm. Salg,27430.0,2.0,Lejlighed,65.0,2009.0,0.0,8000,10.182041,56.155521
"Schleppegrellsgade 18B, 3. TV",8000 Aarhus C,2300000,2015-12-28,Alm. Salg,34328.0,2.0,Lejlighed,67.0,1933.0,-2.0,8000,10.192398,56.147555
"Østboulevarden 19, 1",8000 Aarhus C,2050000,2015-12-28,Alm. Salg,35964.0,2.0,Lejlighed,57.0,1904.0,0.0,8000,10.212886,56.164509
"Vestervang 40, 5. 4057",8000 Aarhus C,2863300,2015-12-27,Alm. Salg,38177.0,3.0,Lejlighed,75.0,1969.0,-4.0,8000,10.189938,56.164916
"Thunøgade 19, 2",8000 Aarhus C,2950000,2015-12-24,Alm. Salg,31052.0,3.0,Lejlighed,95.0,1891.0,-5.0,8000,10.205377,56.1612
"Sønderborggade 13, 1. TV",8000 Aarhus C,1437500,2015-12-24,Fam. Salg,21139.0,2.0,Lejlighed,68.0,1960.0,0.0,8000,10.18126,56.141053
"Banegårdsgade 25, 3",8000 Aarhus C,2800000,2015-12-23,Alm. Salg,26168.0,4.0,Lejlighed,107.0,1880.0,-2.0,8000,10.201635,56.150534
"Harald Jensens Plads 15, 2. TV",8000 Aarhus C,1044300,2015-12-23,Fam. Salg,17405.0,2.0,Lejlighed,60.0,1934.0,0.0,8000,10.189441,56.142938
"Marselisborg Allé 10, 2. TH",8000 Aarhus C,2700000,2015-12-23,Alm. Salg,37500.0,3.0,Lejlighed,72.0,1990.0,-3.0,8000,10.207188,56.147627
"Silkeborgvej 178, ST. 1",8000 Aarhus C,900000,2015-12-23,Alm. Salg,27272.0,1.0,Lejlighed,33.0,1939.0,-2.0,8000,10.176785,56.156156
Vesterport 8L,8000 Aarhus C,3200000,2015-12-23,Alm. Salg,29357.0,4.0,Lejlighed,109.0,1870.0,0.0,8000,10.200313,56.157902
"Marstrandsgade 22, 4",8000 Aarhus C,1960000,2015-12-22,Alm. Salg,27222.0,2.0,Lejlighed,72.0,1900.0,-2.0,8000,10.197281,56.154431
"Skernvej 12, 5. TH",8000 Aarhus C,3100000,2015-12-22,Alm. Salg,38271.0,3.0,Lejlighed,81.0,1931.0,-2.0,8000,10.189259,56.157784
"Paradisgade 15, 1",8000 Aarhus C,3300000,2015-12-22,Andet,33673.0,4.0,Lejlighed,98.0,1880.0,0.0,8000,10.20945,56.160378
"Paradisgade 15, ST",8000 Aarhus C,2700000,2015-12-22,Andet,23478.0,5.0,Lejlighed,115.0,1880.0,0.0,8000,10.20945,56.160378
"De Mezas Vej 20, 1. TV",8000 Aarhus C,3525000,2015-12-22,Alm. Salg,26111.0,4.0,Lejlighed,135.0,1928.0,-2.0,8000,10.190465,56.144761
