long;lat
9908629;57050141
9917093;57051397
9878089;57039803
9943835;57037003
9951093;57037974
9912471;57041219
9907836;57034711
9969153;57042628
9964839;57034852
9956234;57027115
994483;57044248
9964938;57030646
98926;57035064
988457;57040831
9892601;57055327
9952695;57031705
9892601;57055327
9895832;57047343
9927572;57045454
9908421;5703466
9918011;57045693
9911449;57050504
9908719;57029876
9922337;57046502
996086;57039864
9870915;57045584
9917032;570288
9931299;57028372
9898396;57055612
9875147;57027615
9916394;57047246
9917957;57030232
9965802;57032807
9945529;57039817
9868055;57044008
9898499;57056342
9912427;57045421
9967107;57038936
9911761;57044362
9905293;57044557
9863503;57027746
9942331;57042747
9866377;57032943
9966096;57040991
9927734;57045464
9915711;57033749
9910703;57035114
9912847;57045873
9921307;57043101
9898345;57056115
991568;57046349
9914767;57050889
9899335;57055224
9915867;57049408
9941509;57042164
9898113;57026064
9917321;57052537
9914969;57049705
9917321;57052537
9916337;57052114
9898396;57055612
9944064;5704557
9907643;57033024
9971137;57037196
9925876;57046575
9760966;57035847
9917321;57052537
9932266;57039858
9870668;57043023
993988;57041676
9900903;57026677
9911951;57038962
9966609;57042363
9903027;57054232
9916151;57032186
9911936;57044623
99164;57033721
9900231;57055043
9946659;57037334
9938258;57025925
9968226;57042009
9873481;57041934
9925465;57046238
9891794;57047133
9899236;57045773
9914821;57051767
9917246;57051755
9945634;57042086
9920371;57042611
994236;57041704
9944832;57045066
9866097;5704356
9869743;57033119
9906237;57029381
9900887;57051054
9899665;57055159
9942998;5704597
9916045;57045866
9916996;57052474
994777;57044355
9966918;5703677
9919698;57043511
9909284;57052241
9895572;57026872
9901683;57036384
9916261;57030006
9927859;57045956
990846;57047043
9960933;57022424
9971004;57036333
9871616;5703241
9965072;5703054
9916045;57045866
9863045;57034327
9913608;57051857
9896482;57053219
9877895;57037551
995438;57027272
996242;57028436
9922373;57043513
9913238;57045782
9902086;57023611
9932474;57045378
9966024;57045224
9914724;57053653
9909537;57047665
9873193;57030816
9874329;57047353
9912182;57043928
9907472;57033384
9892091;57025698
9899634;57026255
9870732;57027524
9920255;57044299
9917797;57051188
9910424;57052624
9921369;57043457
9936407;57046491
9917246;57051755
9944064;5704557
9902482;57049669
9944171;5704413
9907472;57033384
9951712;5704253
9874479;5702623
9920772;57046869
9970222;57042343
9901823;57054621
9922813;57044339
9925687;57044853
9889771;57040503
9932736;57045773
9883267;57040293
9946033;5704288
993988;57041676
9900676;57047571
9906003;57035353
988339;57040862
9914401;57046067
9897159;57044655
996285;57027865
9964317;57029026
9951586;57037032
9883003;57035103
9940188;57040492
9908152;57032942
9869392;57045015
9872277;57028336
9946717;5705005
9926517;57046575
9962537;5702788
99031;57055459
9912604;57045844
9958197;5702708
9946623;57043839
9947868;57043636
9902694;57053964
9903045;57051416
9886609;57039249
99031;57055459
9921812;57045182
9928672;57045519
9881582;57030508
9962943;57031224
9920255;57044299
981287;57033135
9916278;57051541
9919346;57044426
9873946;57038647
9931709;5704109
9915987;57047822
9907718;57050241
9892309;57054425
9912977;57049418
9917203;57044853
9961698;57023226
9929774;57029574
9906587;57029717
9921773;57030329
9892601;57055327
9930476;57027048
9914843;57053899
995304;57035945
9914732;57049471
9926344;57045797
9877786;57038471
9887182;57045333
9938265;57027557
9952973;57036108
9882825;57040705
9941545;57045841
9892601;57055327
9910387;57052523
9941014;57045683
9961238;5703098
9918635;57043898
9962441;57032814
9915715;57047735
9914545;57051541
9908895;57047199
9908895;57047199
9926591;57045243
9939176;57040731
9919667;57033701
9929496;57046162
9926298;57045226
9951485;57033942
9896656;57025953
9936365;57046424
9887021;57039176
9929533;57046247
9921676;57042609
9909654;57029735
9911816;57045282
9917558;5704372
9952416;57036838
9952628;57038809
9961045;57040573
9945774;5704228
9920583;57042611
9901535;5705332
9960243;57022667
9925693;57046135
9944648;57045254
9921697;57043663
992744;57046731
9899115;5705626
9958883;57030983
9909401;57052428
9946051;57042364
9915866;57031397
9870281;57033698
9968004;57041762
9921307;57043101
9944002;57046094
994439;57045283
9960989;57045447
9940829;57041812
9917093;57051397
9898064;57046965
9916895;57044836
9902603;57053117
991633;57051657
9888806;57031627
9965211;57029966
9900534;57049283
9898113;57026064
9898345;57056115
9905426;57051243
9900231;57055043
9964403;57029062
9892629;57027198
9943625;57046304
9878076;57043286
9912698;57046359
9917321;57052537
9965331;57039901
9869631;57027969
9909537;57047665
9953719;57032138
9906359;57033794
9944791;5704517
996868;5703706
996166;57022629
9878259;57036011
989991;57026217
9881169;57037669
9901566;57044908
991507;57053514
9892008;57046835
9907474;57051457
9919691;57044197
9921369;57043457
9922373;57043513
9912533;57045534
9912958;57054817
9922565;57049709
9872051;57027564
9927593;57044847
993723;57028541
9949608;57041449
9923179;57045062
9941545;57045841
9878323;57033666
9874518;57039817
9920913;5704657
9913238;57045782
9916278;57051541
994236;57041704
9919883;57044019
995327;57039865
9902603;57053117
9925687;57044853
9945141;57042987
9912434;57046781
9912533;57045534
9873111;57032038
9944406;57044097
9944887;57044926
9906912;57051367
9906623;57051738
9939582;5704045
9915644;57049405
9932252;57025988
9923266;570445
994118;57041381
9910987;5705183
9903569;57055374
9951322;57038016
9955711;57039601
9868242;57045373
9898113;57026064
9874026;57032191
9952907;57036271
9937876;57026641
9874166;57038874
9893637;57053366
9892601;57055327
9899449;57050755
9950425;57044673
9914969;57049705
995215;57037253
9921676;57042609
9882845;57040881
9951586;57037032
9858047;57036847
9964094;57040654
989892;57056299
9912427;57045421
9929022;57030366
9892756;57055626
9916848;57045157
9911236;57038024
9920255;57044299
9908967;57047348
992032;5704355
9962565;57041429
9961747;57042438
9951267;57037597
9937916;57046519
9944026;57045954
9944026;57045954
9943811;57044982
9863801;57038528
9902788;57036394
9906378;57033931
9906433;57034832
9918027;57050241
9917027;57049534
9908719;57029876
9951539;57037665
98762;57038723
9934568;57030593
9924403;57043817
9916224;5704656
9862481;57037989
9957573;5704374
9918458;57051919
9907014;57051901
9915882;5704805
9903712;5705529
9892601;57055327
9961249;57023389
9899977;57025015
9937857;57046618
9927593;57044847
989626;57051255
9899607;57054955
9964948;57039106
9932736;57045773
9926946;57046345
9872115;57043554
9883424;57037318
9896656;57025953
9913677;57051275
9913621;5705019
9927543;57046604
9909401;57052428
9918458;57051919
9906272;57033432
9971487;57035129
9937905;57046341
9940345;57032563
9917321;57052537
9914361;57031082
9933196;57046009
9903712;5705529
9928756;57045257
9935623;57048501
9920628;57031435
9918029;5704703
9937906;57046258
9937857;57046618
9944103;57044292
9910022;57034439
993232;57045577
9934895;57045929
9898113;57026064
9918622;57046321
9886216;57033192
9901535;5705332
9886867;57039693
9964726;57028988
9869458;57046351
9937906;57046258
9962134;57028451
990846;57047043
9943554;57044743
9949809;57041466
9902109;57055657
9874533;5704692
9964641;57029621
9935623;57048501
9892961;57055603
9947505;57045212
9917264;57050303
9918458;57051919
9964239;57029331
9918466;57044881
9937906;57046258
9908719;57029876
9912504;57047081
9904917;57051054
9945198;57042567
9915051;57045545
9919094;57046892
9956168;57040031
9937916;57046519
9912959;57046525
9917321;57052537
9950338;57042882
9922813;57044339
9892556;57055209
9935623;57048501
9890726;57046565
9917289;57033093
9937906;57046258
9940807;57032923
9914625;57051723
9777375;57027895
991492;57045665
9945766;57037591
9918458;57051919
989542;57045701
9937906;57046258
9915744;57046446
9937906;57046258
9918458;57051919
9897134;57049959
9904102;57051818
9963302;5704673
9964113;5702937
9869745;57026215
9910565;57050442
9942253;57045466
9918862;57044841
9952201;57040304
9898015;57042306
9918458;57051919
9918458;57051919
9918458;57051919
9918458;57051919
9916488;57028635
9918458;57051919
9858519;57035959
9949786;57041624
9921697;57043663
9966625;57042557
9900402;57055009
9900402;57055009
9858041;57035993
9914625;57051723
9928694;57045363
9920582;57043963
994686;57038701
9918458;57051919
9962054;57047178
9934744;57048097
9873827;57045247
9945198;57042567
9900149;57025377
9914767;57050889
9907888;57033003
9966588;57042064
9907909;57050078
986347;57039018
9950307;5704447
9929662;57027693
9901823;57054621
9911951;57038962
9922373;57043513
9944618;57044172
9870358;57032833
9766306;57039309
9949965;57041705
9913229;57046549
9896799;57026298
9918981;57044095
9908781;57048151
9874854;57048008
9915304;57053539
9940665;57041892
9922587;57048682
9935648;57048138
9864398;57026166
9955411;57038682
993469;5704834
9901038;57054875
9899832;5702409
9963726;57047534
9918215;57034322
9915304;57053539
9951621;57044433
9966625;57042557
9896777;57025828
9931072;57028138
9877613;57045726
9935623;57048501
993469;5704834
9900894;57025225
9886498;57046242
9909284;57052241
9932474;57045378
9962234;57023382
9935623;57048501
9924839;57045648
9927572;57045454
9939582;5704045
9944026;57045954
9916119;57052168
993469;5704834
9953179;57040078
