address;zip_code;price;sell_date;sell_type;price_per_sq_m;no_rooms;housing_type;size_in_sq_m;year_of_construction;price_change_in_pct;zip_code_num
Reberbansgade 52, ST;9000 Aalborg;835000;05-10-2015;Alm. Salg;181520;20;Lejlighed;460;18900;-50;9000
Vesterbro 90, 1. 3;9000 Aalborg;1180000;30-09-2015;Alm. Salg;151280;20;Lejlighed;780;19410;-50;9000
Svalegårdsvej 29, 2. TH;9000 Aalborg;1800000;16-09-2015;Alm. Salg;200000;40;Lejlighed;900;19770;-50;9000
Vonsyldsgade 17;9000 Aalborg;2075000;14-09-2015;Alm. Salg;170080;50;Villa;1220;19300;-50;9000
Kjeldgårdsgade 7;9000 Aalborg;1425000;14-09-2015;Alm. Salg;131940;30;Villa;1080;19110;-50;9000
Gammel Kærvej 10;9000 Aalborg;4000000;02-09-2015;Alm. Salg;190470;70;Villa;2100;19010;-50;9000
Parkvej 8, 3. TV;9000 Aalborg;925000;28-08-2015;Alm. Salg;142300;20;Lejlighed;650;19380;-50;9000
H. C. Andersens Vej 18, ST. TH;9000 Aalborg;640000;19-08-2015;Alm. Salg;92750;20;Lejlighed;690;19670;-50;9000
Filstedvej 145;9000 Aalborg;2650000;18-08-2015;Alm. Salg;145600;40;Villa;1820;19850;-50;9000
Haraldsvej 12;9000 Aalborg;1750000;12-08-2015;Alm. Salg;141120;30;Villa;1240;19600;-50;9000
Sjællandsgade 87, 3. TH;9000 Aalborg;1187500;10-08-2015;Alm. Salg;179920;30;Lejlighed;660;19260;-50;9000
Sofievej 30F, 2;9000 Aalborg;850000;26-07-2015;Alm. Salg;151780;20;Lejlighed;560;19690;-50;9000
Skolebakken 6;9000 Aalborg;3600000;21-07-2015;Alm. Salg;327270;40;Villa;1100;19500;-50;9000
Solbyen 8;9000 Aalborg;3325000;11-07-2015;Alm. Salg;239200;50;Rækkehus;1390;19480;-50;9000
Vestre Fjordvej 46, 3. TV;9000 Aalborg;950000;08-07-2015;Alm. Salg;163790;20;Lejlighed;580;19380;-50;9000
Hirsevej 13B;9000 Aalborg;2000000;07-07-2015;Alm. Salg;135130;50;Rækkehus;1480;19570;-50;9000
Vestre Fjordvej 46, ST. TV;9000 Aalborg;929500;29-06-2015;Alm. Salg;157540;20;Lejlighed;590;19380;-50;9000
Nordvestvej 2;9000 Aalborg;3800000;29-06-2015;Alm. Salg;180950;60;Rækkehus;2100;19330;-50;9000
Danmarksgade 69A, 3. TV;9000 Aalborg;950000;26-06-2015;Alm. Salg;161010;20;Lejlighed;590;19120;-50;9000
Parkvej 2, 3. TH;9000 Aalborg;950000;17-06-2015;Alm. Salg;146150;20;Lejlighed;650;19390;-50;9000
Danmarksgade 15, 1;9000 Aalborg;1415000;17-06-2015;Alm. Salg;170480;30;Lejlighed;830;19160;-50;9000
Valdemarsgade 8, 3. TV;9000 Aalborg;1375000;14-06-2015;Alm. Salg;171870;30;Lejlighed;800;19240;-50;9000
Provstejorden 6, 1. TV;9000 Aalborg;1225000;10-06-2015;Alm. Salg;144110;40;Lejlighed;850;19540;-50;9000
Hjelmerstald 25;9000 Aalborg;1900000;08-06-2015;Alm. Salg;275360;30;Rækkehus;690;18990;-50;9000
Østervangsvej 13;9000 Aalborg;2270000;08-06-2015;Alm. Salg;157630;50;Villa;1440;19240;-50;9000
Deltavej 8;9000 Aalborg;3625000;27-05-2015;Alm. Salg;194890;70;Villa;1860;19940;-50;9000
Oluf Borchs Vej 7;9000 Aalborg;2350000;19-05-2015;Alm. Salg;225960;30;Villa;1040;19470;-50;9000
Fasanvej 6;9000 Aalborg;4000000;19-05-2015;Alm. Salg;206180;60;Villa;1940;19350;-50;9000
Herluf Trolles Gade 32, 1. TV;9000 Aalborg;950000;14-05-2015;Alm. Salg;153220;20;Lejlighed;620;19350;-50;9000
Toften 42;9000 Aalborg;3600000;13-05-2015;Alm. Salg;206890;70;Villa;1740;19700;-50;9000
Jernbanegade 10, 2. TV;9000 Aalborg;2230000;29-04-2015;Alm. Salg;171530;40;Lejlighed;1300;18890;-50;9000
Max Henius Vej 9;9000 Aalborg;3450000;29-04-2015;Alm. Salg;237930;50;Villa;1450;19290;-50;9000
Sofievej 14B;9000 Aalborg;1800000;29-04-2015;Alm. Salg;128570;40;Villa;1400;19660;-50;9000
Bernstorffsgade 4;9000 Aalborg;2750000;26-04-2015;Alm. Salg;154490;70;Villa;1780;19340;-50;9000
Lindskovvej 24;9000 Aalborg;2350000;24-04-2015;Alm. Salg;165490;50;Villa;1420;19720;-50;9000
Suensonsgade 20, 2. TV;9000 Aalborg;1140000;23-04-2015;Alm. Salg;162850;20;Lejlighed;700;19360;-50;9000
Vesterbro 33, 3. TV;9000 Aalborg;1000000;16-04-2015;Alm. Salg;166660;20;Lejlighed;600;19160;-50;9000
B.S. Ingemanns Vej 8;9000 Aalborg;2000000;15-04-2015;Alm. Salg;185180;40;Villa;1080;19650;-50;9000
Vesterbro 19, 1. TH;9000 Aalborg;1040000;26-03-2015;Alm. Salg;142460;20;Lejlighed;730;19390;-50;9000
Duebrødrevej 15;9000 Aalborg;3600000;24-03-2015;Alm. Salg;163630;70;Villa;2200;19340;-50;9000
Edgar Funchs Vej 16;9000 Aalborg;4750000;23-03-2015;Alm. Salg;260980;50;Villa;1820;20070;-50;9000
Lollandsgade 4, ST. TH;9000 Aalborg;940000;12-03-2015;Alm. Salg;146870;20;Lejlighed;640;19380;-50;9000
Æblevangen 1;9000 Aalborg;2095000;10-03-2015;Alm. Salg;167600;50;Villa;1250;19710;-50;9000
Paludan Müllers Vej 18B;9000 Aalborg;2560000;06-03-2015;Alm. Salg;176550;60;Villa;1450;19620;-50;9000
Danmarksgade 69B, 1;9000 Aalborg;1225000;16-02-2015;Alm. Salg;149390;20;Lejlighed;820;19120;-50;9000
Skytten 3;9000 Aalborg;2600000;02-02-2015;Alm. Salg;200000;40;Villa;1300;19320;-50;9000
Tyge Brahes Vej 27, 1;9000 Aalborg;1750000;02-02-2015;Alm. Salg;169900;40;Lejlighed;1030;19190;-50;9000
Vesterbro 39, 3. TH;9000 Aalborg;1700000;27-01-2015;Alm. Salg;207310;30;Lejlighed;820;19110;-50;9000
Ågade 25, 4. TH;9000 Aalborg;1320000;26-01-2015;Alm. Salg;155290;30;Lejlighed;850;19010;-50;9000
Suensonsgade 16, 2. TV;9000 Aalborg;900000;23-01-2015;Alm. Salg;142850;20;Lejlighed;630;19370;-50;9000
Jernbanegade 18, 2. TV;9000 Aalborg;925000;20-01-2015;Alm. Salg;162280;20;Lejlighed;570;18690;-50;9000
Korsgade 25, 1. TH;9000 Aalborg;925000;16-01-2015;Alm. Salg;162280;20;Lejlighed;570;19110;-50;9000
Herluf Trolles Gade 19, 3. TV;9000 Aalborg;950000;14-01-2015;Alm. Salg;143930;20;Lejlighed;660;19390;-50;9000
Urbansgade 19, 3. TH;9000 Aalborg;1085000;04-01-2015;Alm. Salg;166920;20;Lejlighed;650;19340;-50;9000
Langelandsgade 6, 1. TH;9000 Aalborg;1000000;03-01-2015;Alm. Salg;163930;20;Lejlighed;610;19370;-50;9000
Revlingbakken 33, 3. 409;9000 Aalborg;480000;29-12-2015;Alm. Salg;123070;10;Lejlighed;390;19720;-40;9000
Vesterbro 127, 3. 305;9000 Aalborg;960000;21-12-2015;Alm. Salg;171420;20;Lejlighed;560;19540;-40;9000
Holbergsgade 17, 4. TH;9000 Aalborg;1375000;03-12-2015;Alm. Salg;199270;20;Lejlighed;690;19100;-40;9000
Vesterbro 127, 6. 607;9000 Aalborg;1150000;01-12-2015;Fam. Salg;201750;20;Lejlighed;570;19540;-40;9000
Gammel Strandvej 5, 2. TV;9000 Aalborg;1290000;27-11-2015;Alm. Salg;201560;20;Lejlighed;640;19390;-40;9000
Herluf Trolles Gade 32, 3. TV;9000 Aalborg;1235000;21-11-2015;Alm. Salg;220530;20;Lejlighed;560;19350;-40;9000
Estlandsgade 1, ST. TH;9000 Aalborg;1200000;19-11-2015;Alm. Salg;200000;20;Lejlighed;600;20050;-40;9000
Vestre Alle 3, 4. TV;9000 Aalborg;1515000;18-11-2015;Alm. Salg;164670;40;Lejlighed;920;19520;-40;9000
H.A. Brorsons Vej 15;9000 Aalborg;2400000;12-11-2015;Alm. Salg;192000;50;Villa;1250;19640;-40;9000
Nørregade 6, 1. TH;9000 Aalborg;1340000;24-10-2015;Alm. Salg;219670;10;Lejlighed;610;19000;-40;9000
Oldenborrevej 16;9000 Aalborg;475000;14-10-2015;Alm. Salg;107950;30;Sommerhus;440;19480;-40;9000
Vesterbro 127, 2. 207;9000 Aalborg;985000;12-10-2015;Alm. Salg;172800;20;Lejlighed;570;19540;-40;9000
Sønderbro 37, 2. TV;9000 Aalborg;1395000;11-10-2015;Alm. Salg;183550;30;Lejlighed;760;19420;-40;9000
Lindskovvej 37;9000 Aalborg;3995000;11-10-2015;Alm. Salg;269930;40;Villa;1480;19420;-40;9000
Sjællandsgade 44, 3. TV;9000 Aalborg;1820000;06-10-2015;Alm. Salg;202220;20;Lejlighed;900;19360;-40;9000
Blomstermarken 99, 1. TV;9000 Aalborg;1300000;02-10-2015;Alm. Salg;131310;40;Lejlighed;990;19700;-40;9000
Kærlundsvej 24, 1;9000 Aalborg;2300000;30-09-2015;Alm. Salg;174240;40;Lejlighed;1320;19300;-40;9000
Årestrupsvej 12, ST. MF;9000 Aalborg;550000;29-09-2015;Alm. Salg;127900;10;Lejlighed;430;19670;-40;9000
Ryesgade 53, 1. TH;9000 Aalborg;1010000;28-09-2015;Alm. Salg;190560;20;Lejlighed;530;19280;-40;9000
Enggårdsgade 4;9000 Aalborg;2300000;24-09-2015;Alm. Salg;221150;40;Villa;1040;19250;-40;9000
Vesterbro 19B, 1. TH;9000 Aalborg;1245000;21-09-2015;Alm. Salg;175350;20;Lejlighed;710;19380;-40;9000
Skytten 1A, 2. TV;9000 Aalborg;1540000;15-09-2015;Alm. Salg;132750;40;Lejlighed;1160;19370;-40;9000
Herluf Trolles Gade 15, ST. TH;9000 Aalborg;760000;14-09-2015;Alm. Salg;158330;10;Lejlighed;480;19370;-40;9000
Baldersgade 5;9000 Aalborg;2150000;09-09-2015;Alm. Salg;195450;30;Villa;1100;19360;-40;9000
Lektorvej 93;9000 Aalborg;2200000;09-09-2015;Alm. Salg;130950;50;Villa;1680;19590;-40;9000
Årestrupsvej 32, 2. TH;9000 Aalborg;800000;08-09-2015;Alm. Salg;96380;30;Lejlighed;830;19670;-40;9000
Flintevej 25;9000 Aalborg;2400000;30-08-2015;Alm. Salg;181810;40;Rækkehus;1320;19700;-40;9000
Søndergade 7, 2. TV;9000 Aalborg;1150000;30-08-2015;Alm. Salg;225490;10;Lejlighed;510;19810;-40;9000
Jennysvej 11;9000 Aalborg;4200000;28-08-2015;Alm. Salg;248520;60;Villa;1690;19500;-40;9000
Bøge Alle 6;9000 Aalborg;5750000;25-08-2015;Alm. Salg;359370;60;Villa;1600;19310;-40;9000
Vendelbogade 7, 2. TV;9000 Aalborg;850000;25-08-2015;Alm. Salg;193180;20;Lejlighed;440;18970;-40;9000
Vesterbro 98, 3. TV;9000 Aalborg;1175000;20-08-2015;Alm. Salg;192620;20;Lejlighed;610;19500;-40;9000
Falstersgade 46, 2. TH;9000 Aalborg;903750;19-08-2015;Alm. Salg;161380;20;Lejlighed;560;19320;-40;9000
Jyllandsgade 5, ST. TV;9000 Aalborg;1100000;18-08-2015;Alm. Salg;177410;20;Lejlighed;620;19150;-40;9000
Vendsysselgade 2, 3. MF;9000 Aalborg;890000;14-08-2015;Alm. Salg;156140;20;Lejlighed;570;19390;-40;9000
Finlandsgade 4, 3. TH;9000 Aalborg;1200000;11-08-2015;Alm. Salg;153840;30;Lejlighed;780;19260;-40;9000
Mispelvej 41;9000 Aalborg;2200000;06-08-2015;Alm. Salg;148640;50;Villa;1480;19700;-40;9000
Mester Eriks Vej 90;9000 Aalborg;3075000;20-07-2015;Alm. Salg;174710;60;Villa;1760;19340;-40;9000
Valmuemarken 8;9000 Aalborg;3170000;19-07-2015;Alm. Salg;205840;30;Villa;1540;19530;-40;9000
Schleppegrellsgade 10;9000 Aalborg;2585000;14-07-2015;Alm. Salg;179510;60;Villa;1440;19230;-40;9000
Herluf Trolles Gade 17, 3. TV;9000 Aalborg;1190000;10-07-2015;Alm. Salg;220370;20;Lejlighed;540;19350;-40;9000
Stormgade 6, 3. TV;9000 Aalborg;1350000;06-07-2015;Alm. Salg;184930;30;Lejlighed;730;19290;-40;9000
Danmarksgade 4, 1. TV;9000 Aalborg;2312500;30-06-2015;Alm. Salg;222350;30;Lejlighed;1040;19350;-40;9000
Vesterbro 125, 2. 202;9000 Aalborg;840000;26-06-2015;Alm. Salg;150000;20;Lejlighed;560;19540;-40;9000
Østre Alle 6;9000 Aalborg;1960000;24-06-2015;Alm. Salg;167520;50;Rækkehus;1170;19180;-40;9000
Johannes Ewalds Vej 6;9000 Aalborg;1584000;24-06-2015;Alm. Salg;186350;30;Rækkehus;850;19610;-40;9000
Steen Blichers Gade 9, 1;9000 Aalborg;1620000;19-06-2015;Alm. Salg;165300;30;Lejlighed;980;18980;-40;9000
Kastetvej 15B, 3. 2;9000 Aalborg;1050000;18-06-2015;Alm. Salg;205880;20;Lejlighed;510;19590;-40;9000
Revlingbakken 32, 2. TH;9000 Aalborg;1050000;12-06-2015;Alm. Salg;116660;40;Lejlighed;900;19680;-40;9000
Steenstrupsvej 7;9000 Aalborg;4300000;09-06-2015;Alm. Salg;248550;70;Villa;1730;19290;-40;9000
Max Henius Vej 6;9000 Aalborg;3250000;04-06-2015;Alm. Salg;227270;50;Villa;1430;19300;-40;9000
Østergravensgade 12, ST. TH;9000 Aalborg;1130000;03-06-2015;Alm. Salg;198240;20;Lejlighed;570;18890;-40;9000
Anders Borks Vej 4, 1. TV;9000 Aalborg;1430000;01-06-2015;Alm. Salg;210290;20;Lejlighed;680;19300;-40;9000
Bøgesvinget 42;9000 Aalborg;2500000;29-05-2015;Alm. Salg;192300;50;Villa;1300;20130;-40;9000
Carl Plougs Vej 10;9000 Aalborg;2695000;28-05-2015;Alm. Salg;177300;40;Villa;1520;19700;-40;9000
Corfitzvej 2;9000 Aalborg;2695000;19-05-2015;Alm. Salg;242790;40;Villa;1110;19780;-40;9000
Sofievej 30A, 2;9000 Aalborg;620000;18-05-2015;Alm. Salg;112720;10;Lejlighed;550;19690;-40;9000
Danmarksgade 4, 2. TV;9000 Aalborg;2205000;09-05-2015;Alm. Salg;212010;40;Lejlighed;1040;19350;-40;9000
Hindbærvej 17;9000 Aalborg;2260000;05-05-2015;Alm. Salg;161420;60;Villa;1400;19660;-40;9000
Borgergade 32, 1. TH;9000 Aalborg;1490000;30-04-2015;Alm. Salg;163730;40;Lejlighed;910;19170;-40;9000
Ny Kastetvej 19A, ST;9000 Aalborg;1675000;23-04-2015;Alm. Salg;170910;30;Lejlighed;980;19320;-40;9000
Pernillevej 11;9000 Aalborg;2880000;14-04-2015;Alm. Salg;246150;40;Villa;1170;19610;-40;9000
Abelsvej 19;9000 Aalborg;2100000;03-04-2015;Alm. Salg;194440;30;Villa;1080;19670;-40;9000
Tovesvej 28;9000 Aalborg;1430000;30-03-2015;Alm. Salg;70440;60;Villa;2030;20160;-40;9000
Rosenlundsgade 10, 3. TH;9000 Aalborg;1225000;27-03-2015;Alm. Salg;191400;20;Lejlighed;640;19000;-40;9000
Vesterbro 24, 1. TV;9000 Aalborg;1675000;26-03-2015;Alm. Salg;155090;30;Lejlighed;1080;19330;-40;9000
Valmuemarken 74;9000 Aalborg;2600000;24-03-2015;Alm. Salg;213110;50;Villa;1220;19480;-40;9000
Brettevillesgade 11, 1. TV;9000 Aalborg;1050000;23-03-2015;Alm. Salg;223400;20;Lejlighed;470;18780;-40;9000
Krøyersvej 3;9000 Aalborg;1925000;20-03-2015;Alm. Salg;131840;50;Villa;1460;19590;-40;9000
Nybrogade 4, 3. MF;9000 Aalborg;1414000;20-03-2015;Alm. Salg;196380;20;Lejlighed;720;19960;-40;9000
Borgmestervænget 10, ST. TV;9000 Aalborg;962500;18-03-2015;Alm. Salg;163130;20;Lejlighed;590;19390;-40;9000
Leonorevej 5C;9000 Aalborg;3130000;17-03-2015;Alm. Salg;228460;40;Villa;1370;19840;-40;9000
Alfavej 27;9000 Aalborg;2725000;17-03-2015;Alm. Salg;208010;40;Villa;1310;19880;-40;9000
Europa Plads 4A, 2. TH;9000 Aalborg;1145000;17-03-2015;Alm. Salg;161260;20;Lejlighed;710;19320;-40;9000
Vestre Alle 7, 3. TH;9000 Aalborg;1680000;16-03-2015;Alm. Salg;146080;50;Lejlighed;1150;19550;-40;9000
Bejsebakkevej 91;9000 Aalborg;2675000;15-03-2015;Alm. Salg;121040;80;Villa;2210;19650;-40;9000
Blomstermarken 117, 1. TH;9000 Aalborg;1300000;07-10-2015;Alm. Salg;131310;40;Lejlighed;990;19700;-30;9000
Bygaden 24A, 1;9000 Aalborg;2700000;05-10-2015;Alm. Salg;146730;50;Lejlighed;1840;19060;-30;9000
Rantzausgade 20, ST. MF;9000 Aalborg;1445000;01-10-2015;Alm. Salg;197940;30;Lejlighed;730;18940;-30;9000
Borgergade 6, 4. TH;9000 Aalborg;2305000;29-09-2015;Alm. Salg;169480;40;Lejlighed;1360;18970;-30;9000
Poul Paghs Gade 29, ST. TH;9000 Aalborg;945000;28-09-2015;Alm. Salg;168750;20;Lejlighed;560;19100;-30;9000
Ågade 21, 1. TH;9000 Aalborg;2025000;24-09-2015;Alm. Salg;222520;30;Lejlighed;910;18980;-30;9000
Østerbro 29E, 2. TH;9000 Aalborg;2425000;24-09-2015;Alm. Salg;247440;30;Lejlighed;980;20130;-30;9000
Vesterbro 98, 2. TV;9000 Aalborg;1114000;23-09-2015;Alm. Salg;182620;20;Lejlighed;610;19500;-30;9000
Estlandsgade 1, 3. MF;9000 Aalborg;1315250;22-09-2015;Alm. Salg;215610;20;Lejlighed;610;20050;-30;9000
Annebergvej 21, 2. 4;9000 Aalborg;1160000;21-09-2015;Alm. Salg;203500;20;Lejlighed;570;18900;-30;9000
Islandsgade 17, ST. TH;9000 Aalborg;1035000;18-09-2015;Alm. Salg;150000;20;Lejlighed;690;19260;-30;9000
Vestre Alle 7, 4. TH;9000 Aalborg;1540000;10-09-2015;Alm. Salg;140000;50;Lejlighed;1100;19550;-30;9000
Grønnegade 34, 1;9000 Aalborg;970000;10-09-2015;Alm. Salg;167240;20;Lejlighed;580;19040;-30;9000
