address;zip_code;price;sell_date;sell_type;price_per_sq_m;no_rooms;housing_type;size_in_sq_m;year_of_construction;price_change_in_pct;zip_code_num;long;lat
oesterbro 22, 2. TH;9000 Aalborg;1295000;30-10-2015;Alm. Salg;185000;20;Lejlighed;700;19000;0;9000;9933196;57046009
oesterbro 24, 1. TV;9000 Aalborg;2000000;23-10-2015;Alm. Salg;186910;40;Lejlighed;1070;19280;0;9000;9934895;57045929
oesterbro 24, 3. TV;9000 Aalborg;1898000;27-04-2015;Alm. Salg;186070;40;Lejlighed;1020;19280;0;9000;9934895;57045929
oesterbro 29D, 2. TH;9000 Aalborg;2945000;25-08-2015;Alm. Salg;239430;30;Lejlighed;1230;20130;-20;9000;9936365;57046424
oesterbro 29E, 2. TH;9000 Aalborg;2425000;24-09-2015;Alm. Salg;247440;30;Lejlighed;980;20130;-30;9000;9936407;57046491
oesterbro 37A, 4. TH;9000 Aalborg;2895000;27-10-2015;Alm. Salg;224410;40;Lejlighed;1290;20160;0;9000;9937857;57046618
oesterbro 37A, 4. TV;9000 Aalborg;3395000;17-11-2015;Alm. Salg;247810;40;Lejlighed;1370;20160;0;9000;9937857;57046618
oesterbro 37C, 1. TH;9000 Aalborg;2295000;12-10-2015;Alm. Salg;225000;40;Lejlighed;1020;20160;0;9000;9937906;57046258
oesterbro 37C, 1. TV;9000 Aalborg;2395000;20-10-2015;Alm. Salg;223830;40;Lejlighed;1070;20160;0;9000;9937906;57046258
oesterbro 37C, 2. TH;9000 Aalborg;2395000;28-10-2015;Alm. Salg;234800;40;Lejlighed;1020;20160;0;9000;9937906;57046258
oesterbro 37C, 2. TV;9000 Aalborg;2495000;23-09-2015;Alm. Salg;233170;40;Lejlighed;1070;20160;0;9000;9937906;57046258
oesterbro 37C, 3. TV;9000 Aalborg;3695000;24-09-2015;Alm. Salg;324120;40;Lejlighed;1140;20160;0;9000;9937906;57046258
oesterbro 37C, ST;9000 Aalborg;2395000;02-10-2015;Alm. Salg;208260;40;Lejlighed;1150;20160;0;9000;9937906;57046258
oesterbro 37D, 4;9000 Aalborg;5500000;04-11-2015;Alm. Salg;308980;40;Lejlighed;1780;20160;0;9000;9937905;57046341
oesterbro 37E, 2;9000 Aalborg;2645000;08-12-2015;Alm. Salg;230000;40;Lejlighed;1150;20160;0;9000;9937916;57046519
oesterbro 37E, 3. TV;9000 Aalborg;2495000;08-10-2015;Alm. Salg;228890;40;Lejlighed;1090;20160;0;9000;9937916;57046519
oesterbro 57, ST. TV;9000 Aalborg;970000;23-02-2015;Alm. Salg;151560;20;Lejlighed;640;19340;-30;9000;9941545;57045841
oesterbro 91, 3. TV;9000 Aalborg;1000000;14-10-2015;Alm. Salg;158730;20;Lejlighed;630;19340;0;9000;9947505;57045212
oestergravensgade 12, 1. TH;9000 Aalborg;1225000;28-07-2015;Alm. Salg;177530;20;Lejlighed;690;18890;20;9000;9927859;57045956
